Network;Species;Group;Kingdom;Phylum;Class;Order;Family;Genus;BodyWeight;FeedingMode;MetabolicCategory;TrophicLevel;FeedingType;Mobility;Environment;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;R11;R12;R13;R14;R15;R16;R17;R18;R19;R20;R21;R22;R23;R24;R25;R26;R27;R28;R29;R30;Vulnerability;Generality
loughhyne;Umbonua_error;I;Animalia;Bryozoa;Gymnolaemata;Cheilostomata;Umbonulidae;Umbonula;5.05E-03;"suspension-feeder";"invertebrate";2;"herbivorous/detrivorous";1;"benthic";3;257;0;12;9;0;0;0;266;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;3
loughhyne;Syngnathus_166463;I;Animalia;Chordata;Actinopterygii;Gasterosteiformes;Syngnathidae;Syngnathus;216.5;"predator";"ectotherm vertebrate";3.59;"carnivorous";4;"demersal";46;65;29;1;25;0;0;0;612;1;31;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;2;13
loughhyne;Thorogobius_172043;I;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Thorogobius;23.56;"predator";"ectotherm vertebrate";2.56;"omnivorous";4;"demersal";1372;227;92;4;237;0;0;0;1418;11;58;87;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;54
loughhyne;Asterina_157123;I;Animalia;Echinodermata;Asteroidea;Spinulosida;Asterinidae;Asterina;1.18E-02;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";743;631;63;36;420;4;7;38;923;67;37;140;24;2;0;0;18;6;0;0;0;0;0;0;0;7;0;1;0;0;15;41
loughhyne;Ascophyllum_11330;B;Plantae;Phaeophyta;Phaeophyceae;Fucales;Fucaceae;Ascophyllum;373.4801;"primaryproducer";"primaryproducer";1;"primaryproducer";1;"benthic";0;1584;0;228;0;3;0;0;0;356;0;0;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0
loughhyne;Scyliorhinus_160067;I;Animalia;Chordata;Chondrichthyes;Carcharhiniformes;Scyliorhinidae;Scyliorhinus;12090.78;"predator";"ectotherm vertebrate";4.45;"carnivorous";4;"reef-associated";21;59;495;0;0;0;0;0;30;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;7
loughhyne;Lesueurigobius_172036;I;Animalia;Chordata;Actinopterygii;Perciformes;Gobiidae;Lesueurigobius;21.4;"predator";"ectotherm vertebrate";3.4;"carnivorous";4;"demersal";63;271;47;4;41;0;0;0;459;11;27;43;4;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;14
loughhyne;Coryphella_205324;I;Animalia;Mollusca;Gastropoda;Nudibranchia;Flabellinidae;Flabellina;1.18E-02;"predator";"invertebrate";3;"omnivorous";2;"benthic";3;657;15;51;27;3;0;0;35;29;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;3
loughhyne;Helcion_69748;I;Animalia;Mollusca;Gastropoda;Archaeogastropoda;Patellidae;Patina;2.16E-02;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";465;640;0;38;247;0;0;0;838;24;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;31
loughhyne;Littorina_70420;I;Animalia;Mollusca;Gastropoda;Neotaenioglossa;Littorinidae;Littorina;4.05E-03;"grazer";"invertebrate";2;"herbivorous/detrivorous";2;"benthic";3;1006;0;47;42;0;0;0;189;79;0;0;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;3
